,c,sigma,noise,algorithm,ari
0,60,0.45,0.175,Herm,0.5567037127360766
0,30,0.05,0.26249999999999996,DiSim,0.21080580411757893
0,30,0.05,0.26249999999999996,Herm,0.39630953444314765
0,30,0.25,0.26249999999999996,DiSim,0.20364846727165709
0,30,0.25,0.26249999999999996,Herm,0.3156950571930107
0,30,0.45,0.26249999999999996,DiSim,0.2038759400588379
0,30,0.45,0.26249999999999996,Herm,0.28147009768689646
0,45,0.05,0.26249999999999996,DiSim,0.2086152740695256
0,45,0.05,0.26249999999999996,Herm,0.4644453667558108
0,45,0.25,0.26249999999999996,DiSim,0.17781514112298458
0,45,0.25,0.26249999999999996,Herm,0.3785042533679309
0,45,0.45,0.26249999999999996,DiSim,0.19792994667305036
0,45,0.45,0.26249999999999996,Herm,0.346700472930959
0,60,0.05,0.26249999999999996,DiSim,0.1527177422675694
0,60,0.05,0.26249999999999996,Herm,0.48663810948915825
0,60,0.25,0.26249999999999996,DiSim,0.19201361638001235
0,60,0.25,0.26249999999999996,Herm,0.4177095900540321
0,60,0.45,0.26249999999999996,DiSim,0.2244280069918909
0,60,0.45,0.26249999999999996,Herm,0.37301982997049077
0,30,0.05,0.35,DiSim,0.18557870557084064
0,30,0.05,0.35,Herm,0.24938552938458147
0,30,0.25,0.35,DiSim,0.14875006126286927
0,30,0.25,0.35,Herm,0.1514548770157269
0,30,0.45,0.35,DiSim,0.11137571034158271
0,30,0.45,0.35,Herm,0.15247797554743295
0,45,0.05,0.35,DiSim,0.16687773587507085
0,45,0.05,0.35,Herm,0.29102708666065485
0,45,0.25,0.35,DiSim,0.15342251943881635
0,45,0.25,0.35,Herm,0.23762126528058924
0,45,0.45,0.35,DiSim,0.1704166310847565
0,45,0.45,0.35,Herm,0.2024252479351097
0,60,0.05,0.35,DiSim,0.14081437672688762
0,60,0.05,0.35,Herm,0.36929104276932223
0,60,0.25,0.35,DiSim,0.1414477627045297
0,60,0.25,0.35,Herm,0.23279974708874066
0,60,0.45,0.35,DiSim,0.18508280164469737
0,60,0.45,0.35,Herm,0.19643587296402876
0,30,0.05,0.0,DiSim,0.33521952221055423
0,30,0.05,0.0,Herm,0.5080169569968299
0,30,0.25,0.0,DiSim,0.4389684958869841
0,30,0.25,0.0,Herm,0.48906933575019057
0,30,0.45,0.0,DiSim,0.46507058468668433
0,30,0.45,0.0,Herm,0.5560523186552888
0,45,0.05,0.0,DiSim,0.36086016624652995
0,45,0.05,0.0,Herm,0.5253712697037369
