,model,p,noise,algorithm,ari
0,DSBM_PA,0.008,0.175,DiSim,0.026283831675241176
0,DSBM_PA,0.008,0.175,Herm,0.0024072429951801488
0,DSBM,0.002,0.26249999999999996,DiSim,0.020328306710317975
0,DSBM,0.002,0.26249999999999996,Herm,0.30909388815021843
0,DSBM_PA,0.002,0.26249999999999996,DiSim,0.0001347815015839301
0,DSBM_PA,0.002,0.26249999999999996,Herm,0.0007603136450256528
0,DSBM,0.004,0.26249999999999996,DiSim,0.24468819996081861
0,DSBM,0.004,0.26249999999999996,Herm,0.843044624967628
0,DSBM_PA,0.004,0.26249999999999996,DiSim,1.4563157783930946e-06
0,DSBM_PA,0.004,0.26249999999999996,Herm,0.00032239287115256286
0,DSBM,0.006,0.26249999999999996,DiSim,0.3457315723005077
0,DSBM,0.006,0.26249999999999996,Herm,0.9646551384511871
0,DSBM_PA,0.006,0.26249999999999996,DiSim,-1.3690403021394446e-05
0,DSBM_PA,0.006,0.26249999999999996,Herm,0.00043343752132020066
0,DSBM,0.008,0.26249999999999996,DiSim,0.39532446956094625
0,DSBM,0.008,0.26249999999999996,Herm,0.9916472737631392
0,DSBM_PA,0.008,0.26249999999999996,DiSim,2.9928784429373483e-05
0,DSBM_PA,0.008,0.26249999999999996,Herm,0.000507331344536643
0,DSBM,0.002,0.35,DiSim,0.0003677539856854595
0,DSBM,0.002,0.35,Herm,0.01419238157634985
0,DSBM_PA,0.002,0.35,DiSim,-3.5673810273950856e-05
0,DSBM_PA,0.002,0.35,Herm,0.00037183651611225093
0,DSBM,0.004,0.35,DiSim,0.002791586799306049
0,DSBM,0.004,0.35,Herm,0.1653120853391175
0,DSBM_PA,0.004,0.35,DiSim,5.440919972374059e-05
0,DSBM_PA,0.004,0.35,Herm,-9.744653808401833e-05
0,DSBM,0.006,0.35,DiSim,0.06411619951747381
0,DSBM,0.006,0.35,Herm,0.43974712847822445
0,DSBM_PA,0.006,0.35,DiSim,-0.00010288060070144833
0,DSBM_PA,0.006,0.35,Herm,3.9581637975598124e-05
0,DSBM,0.008,0.35,DiSim,0.16688081212616557
0,DSBM,0.008,0.35,Herm,0.6939351946691481
0,DSBM_PA,0.008,0.35,DiSim,-1.7193138527759375e-05
0,DSBM_PA,0.008,0.35,Herm,-6.306284472166004e-05
0,DSBM,0.002,0.0,DiSim,0.5638643783028333
0,DSBM,0.002,0.0,Herm,0.9988751502297344
0,DSBM_PA,0.002,0.0,DiSim,0.08135722990662309
0,DSBM_PA,0.002,0.0,Herm,0.344292513023554
0,DSBM,0.004,0.0,DiSim,0.708549262854412
0,DSBM,0.004,0.0,Herm,1.0
0,DSBM_PA,0.004,0.0,DiSim,0.29646236429192196
0,DSBM_PA,0.004,0.0,Herm,0.4156670174323258
0,DSBM,0.006,0.0,DiSim,0.7418311263355158
0,DSBM,0.006,0.0,Herm,1.0
0,DSBM_PA,0.006,0.0,DiSim,0.3248220989392904
0,DSBM_PA,0.006,0.0,Herm,0.456306203602238
0,DSBM,0.008,0.0,DiSim,0.8439962185478189
0,DSBM,0.008,0.0,Herm,1.0
0,DSBM_PA,0.008,0.0,DiSim,0.35100138724538993
0,DSBM_PA,0.008,0.0,Herm,0.4500068719628713
0,DSBM,0.002,0.0875,DiSim,0.371706903105584
0,DSBM,0.002,0.0875,Herm,0.9722420888435803
0,DSBM_PA,0.002,0.0875,DiSim,0.0019839630725066045
0,DSBM_PA,0.002,0.0875,Herm,0.22687468360959853
0,DSBM,0.004,0.0875,DiSim,0.6359862678379518
0,DSBM,0.004,0.0875,Herm,0.9997500125093777
0,DSBM_PA,0.004,0.0875,DiSim,0.0019995234529539495
0,DSBM_PA,0.004,0.0875,Herm,0.33640926047334474
0,DSBM,0.006,0.0875,DiSim,0.7076812562042957
0,DSBM,0.006,0.0875,Herm,1.0
0,DSBM_PA,0.006,0.0875,DiSim,0.23604487807320745
0,DSBM_PA,0.006,0.0875,Herm,0.37432570868732334
0,DSBM,0.008,0.0875,DiSim,0.7301630838780967
0,DSBM,0.008,0.0875,Herm,1.0
0,DSBM_PA,0.008,0.0875,DiSim,0.30416291056880707
0,DSBM_PA,0.008,0.0875,Herm,0.4030995845494753
0,DSBM,0.002,0.175,DiSim,0.23032771666827986
0,DSBM,0.002,0.175,Herm,0.8181420132907471
0,DSBM_PA,0.002,0.175,DiSim,0.000326383210017529
0,DSBM_PA,0.002,0.175,Herm,0.003786370074963649
0,DSBM,0.004,0.175,DiSim,0.3922268328510811
0,DSBM,0.004,0.175,Herm,0.9882984111012368
0,DSBM_PA,0.004,0.175,DiSim,0.00012545854702742564
0,DSBM_PA,0.004,0.175,Herm,0.0034691789286521602
0,DSBM,0.006,0.175,DiSim,0.5713362343719973
0,DSBM,0.006,0.175,Herm,0.9991251062953226
