,c,k,noise,tau,algorithm,ari
0,60,5,0.0,0.1,DiSim,0.9333958540052253
0,60,5,0.0,0.1,Herm,0.7101444508606258
0,60,5,0.0,0.4,DiSim,0.9333958540052253
0,60,5,0.0,0.4,Herm,0.7300809738737882
0,60,5,0.0,0.75,DiSim,0.9333958540052253
0,60,5,0.0,0.75,Herm,0.7392384694373365
0,60,5,0.0,0.85,DiSim,0.9333958540052253
0,60,5,0.0,0.85,Herm,0.7404919688163224
0,60,5,0.0,1,DiSim,0.9333958540052253
0,60,5,0.0,1,Herm,0.7399796353353302
0,60,5,0.0,1.15,DiSim,0.9333958540052253
0,60,5,0.0,1.15,Herm,0.7435927809875124
0,60,5,0.0,1.25,DiSim,0.9333958540052253
0,60,5,0.0,1.25,Herm,0.7442102045271025
0,60,5,0.0,1.6,DiSim,0.9333958540052253
0,60,5,0.0,1.6,Herm,0.7462992816776524
0,60,5,0.0,2,DiSim,0.9333958540052253
0,60,5,0.0,2,Herm,0.7480760519454044
0,60,5,0.0,3,DiSim,0.9333958540052253
0,60,5,0.0,3,Herm,0.7494699863059909
0,20,3,0.15,0.1,DiSim,0.2996774505667423
0,20,3,0.15,0.1,Herm,0.0009856875019361114
0,20,3,0.15,0.4,DiSim,0.29962982362081214
0,20,3,0.15,0.4,Herm,0.000772943150961811
0,20,3,0.15,0.75,DiSim,0.2994699593825009
0,20,3,0.15,0.75,Herm,0.0003366524290623752
0,20,3,0.15,0.85,DiSim,0.2994986411591908
0,20,3,0.15,0.85,Herm,0.000309972434025539
0,20,3,0.15,1,DiSim,0.29962982362081214
0,20,3,0.15,1,Herm,0.00039721052109671314
0,20,3,0.15,1.15,DiSim,0.2994510625161598
0,20,3,0.15,1.15,Herm,0.000262190776381611
0,20,3,0.15,1.25,DiSim,0.2994699593825009
0,20,3,0.15,1.25,Herm,5.079816956221278e-05
0,20,3,0.15,1.6,DiSim,0.29962982362081214
0,20,3,0.15,1.6,Herm,1.6945349904320597e-05
0,20,3,0.15,2,DiSim,0.2996774505667423
0,20,3,0.15,2,Herm,-2.0562630777934257e-05
0,20,3,0.15,3,DiSim,0.29962982362081214
0,20,3,0.15,3,Herm,7.623759913106396e-05
0,60,3,0.15,0.1,DiSim,0.4731468898635636
0,60,3,0.15,0.1,Herm,0.00041463991344344405
0,60,3,0.15,0.4,DiSim,0.4731468898635636
0,60,3,0.15,0.4,Herm,0.00013967602041174305
0,60,3,0.15,0.75,DiSim,0.4731468898635636
0,60,3,0.15,0.75,Herm,0.00031724682456359577
0,60,3,0.15,0.85,DiSim,0.47310735966039746
0,60,3,0.15,0.85,Herm,0.0003537977224850708
0,60,3,0.15,1,DiSim,0.47310735966039746
0,60,3,0.15,1,Herm,0.00032635955420486535
0,60,3,0.15,1.15,DiSim,0.4731468898635636
0,60,3,0.15,1.15,Herm,0.00038597069271881045
0,60,3,0.15,1.25,DiSim,0.4731468898635636
0,60,3,0.15,1.25,Herm,0.0002512412293757678
0,60,3,0.15,1.6,DiSim,0.47310735966039746
0,60,3,0.15,1.6,Herm,0.00023388017043857732
0,60,3,0.15,2,DiSim,0.4731468898635636
0,60,3,0.15,2,Herm,0.0002884855906613189
0,60,3,0.15,3,DiSim,0.4731468898635636
0,60,3,0.15,3,Herm,9.400915609127387e-06
0,20,5,0.15,0.1,DiSim,0.5488834182386352
0,20,5,0.15,0.1,Herm,0.6694858810120932
0,20,5,0.15,0.4,DiSim,0.5490410457991992
0,20,5,0.15,0.4,Herm,0.6713297794214793
0,20,5,0.15,0.75,DiSim,0.5488352147880359
0,20,5,0.15,0.75,Herm,0.6612759050691225
0,20,5,0.15,0.85,DiSim,0.5489140182976642
0,20,5,0.15,0.85,Herm,0.6560470856248334
0,20,5,0.15,1,DiSim,0.5488352147880359
0,20,5,0.15,1,Herm,0.6459201308380592
0,20,5,0.15,1.15,DiSim,0.5488352147880359
0,20,5,0.15,1.15,Herm,0.6353222111560166
0,20,5,0.15,1.25,DiSim,0.5490410457991992
0,20,5,0.15,1.25,Herm,0.6296793242717297
0,20,5,0.15,1.6,DiSim,0.5488834182386352
0,20,5,0.15,1.6,Herm,0.4433659150557676
0,20,5,0.15,2,DiSim,0.5490410457991992
0,20,5,0.15,2,Herm,0.2877184993288055
0,20,5,0.15,3,DiSim,0.5488834182386352
0,20,5,0.15,3,Herm,0.23525728894542514
0,60,5,0.15,0.1,DiSim,0.6848432478859585
0,60,5,0.15,0.1,Herm,0.7091887366815021
0,60,5,0.15,0.4,DiSim,0.6848432478859585
0,60,5,0.15,0.4,Herm,0.723798266420425
0,60,5,0.15,0.75,DiSim,0.6848432478859585
0,60,5,0.15,0.75,Herm,0.728221271851027
0,60,5,0.15,0.85,DiSim,0.6849567550234101
0,60,5,0.15,0.85,Herm,0.7332452537354821
0,60,5,0.15,1,DiSim,0.6848432478859585
0,60,5,0.15,1,Herm,0.735161458171714
0,60,5,0.15,1.15,DiSim,0.6848432478859585
0,60,5,0.15,1.15,Herm,0.7339991551276251
0,60,5,0.15,1.25,DiSim,0.8362919819651168
0,60,5,0.15,1.25,Herm,0.7346366278018613
0,60,5,0.15,1.6,DiSim,0.6849567550234101
0,60,5,0.15,1.6,Herm,0.7358573245192815
0,60,5,0.15,2,DiSim,0.6849567550234101
0,60,5,0.15,2,Herm,0.735550381180774
0,60,5,0.15,3,DiSim,0.6849567550234101
0,60,5,0.15,3,Herm,0.7304528413705769
0,20,3,0.0,0.1,DiSim,0.8104676158992137
0,20,3,0.0,0.1,Herm,0.0011162831156509754
0,20,3,0.0,0.4,DiSim,0.8104676158992137
0,20,3,0.0,0.4,Herm,0.0008646446237277646
0,20,3,0.0,0.75,DiSim,0.8104676158992137
0,20,3,0.0,0.75,Herm,0.0004744314135189537
0,20,3,0.0,0.85,DiSim,0.8104676158992137
0,20,3,0.0,0.85,Herm,0.0002558755673643402
0,20,3,0.0,1,DiSim,0.8104676158992137
0,20,3,0.0,1,Herm,0.00020209629318596086
0,20,3,0.0,1.15,DiSim,0.8104676158992137
0,20,3,0.0,1.15,Herm,1.963760261942445e-05
0,20,3,0.0,1.25,DiSim,0.8104676158992137
0,20,3,0.0,1.25,Herm,3.811642153974886e-05
0,20,3,0.0,1.6,DiSim,0.8104676158992137
0,20,3,0.0,1.6,Herm,-5.5552077219470936e-05
0,20,3,0.0,2,DiSim,0.8104676158992137
0,20,3,0.0,2,Herm,-4.734761998400829e-05
0,20,3,0.0,3,DiSim,0.8104676158992137
0,20,3,0.0,3,Herm,0.00014971950472695376
0,60,3,0.0,0.1,DiSim,0.9425758688094955
0,60,3,0.0,0.1,Herm,7.412005972183432e-05
0,60,3,0.0,0.4,DiSim,0.9425758688094955
0,60,3,0.0,0.4,Herm,-2.616416245890672e-05
0,60,3,0.0,0.75,DiSim,0.9425758688094955
0,60,3,0.0,0.75,Herm,0.00018068897342201517
0,60,3,0.0,0.85,DiSim,0.9425758688094955
0,60,3,0.0,0.85,Herm,0.0001531233849538447
